88,30 APR 2020,AWS トレーニングと認定によるクラウドビルダーのトレーニング | Amazon Web Services ブログ,アマゾン ウェブ サービス (AWS) のトレーニングと認定ブログがスタートしました。このブログでは、AWS トレーニングと認定 (T&amp;C) が提供するサービス、業界の動向、ベストプラクティスなど、クラウドスキルの向上に役立つ、さまざまな情報をご紹介していきます。 AWS トレーニングと認定ブログ（英語版） (日本のマーケットに関係する内容は、日本語に翻訳して本ブログで公開します。) 今回は AWS T&amp;C の誕生と変遷、T&amp;C がお客様のクラウドスキルの構築と専門知識の証明をどうやって支援しているのか、そしてその訳を簡単にご紹介したいと思います。 ご存知の通り、クラウドテクノロジーは急速なペースで私たちを取り巻くこの世界を変えています。一方でまた、十分なスキルを持ったクラウドプロフェッショナルが不足していることも、おそらくご存知でしょう。 現在 AWS T&amp;C では、500 を超える (しかもどんどん増えています！) 無料のデジタルトレーニングコースを提供しています。グローバルな AWS 認定者コミュニティの急速な成長は、私たちの誇りでもあります。 同様に AWS re/Start では、個人がクラウドキャリアへ向けて準備を整えることを支援しています。また、急速に拡大させているラーニングライブラリについても、こちらのブログでご紹介していければと思います。
89,29 APR 2020,Amazon の機械学習とデータレイクでエネルギー使用量を予測する | Amazon Web Services ブログ,あらゆる種類や規模の公益事業やエネルギー供給会社の幹部は、エネルギー使用量を予測するというニーズを複数抱えています。たとえば最高顧客責任者として、あなたのチームは家庭レベルのエネルギー使用量を予測して、そのご家庭に高額請求の可能性があると警告を送ったり、前払いや月末のエネルギー料金を予測したりすることができます。エネルギー効率化および商業エネルギープログラムの責任者として、あなたのチームはさまざまなエネルギー効率化施策を適用した際にどれくらいエネルギー消費を抑えられるのかを予測したり、最適な施策をおすすめしたりすることができます。  予測は、家庭ごとにも、キャンパスや資産管理者が持つ複数の商業ビルの単位で行うこともできます。運用担当の VP として、Amazon Forecast を使うことで、回線や変電所レベルでの需要予測から、変電所や配電変圧器の故障予測までを行うことができます。Amazon Forecast を顧客の人口統計データと組み合わせて、太陽光発電、バッテリー、電気自動車の設置が最も増加する可能性が高い地域や道路を予測することもできます。これらを利用して、アナリティクスからの知見、予想や予測をタイムリーかつ手頃な価格で得ることができます。 Amazon Forecast は、公益事業会社がエネルギー消費量の予測に使用することができます。Puget Sound Energy 社は、このアプローチを使用して一般的な家庭の電気とガスの消費量を予測しました。 AWS の電力会社や公益事業会社への適用に関する情報 はこちらです。
90,29 APR 2020,【登壇報告】Virtual NAB 2020セミナー | Amazon Web Services ブログ,毎年 4 月に開催される 全米放送協会 NAB (National Association of Broadcasters) が主催する世界最大の放送機器展 NAB Show ですが、今年は COVID-19 感染拡大の影響を鑑み Las Vegas での開催は中止、いくつかのデジタルイベントを実施することになりました。AWS は NAB Show で公開する準備を進めていた内容を下記のオンラインセミナーで紹介させていただきました。 4/21 (火)に US では AWS 主催のイベント「AWS NAB News &amp; Update」を開催しました。 日本でも 4/22 (水)に伊藤忠ケーブルシステム様のバーチャルイベント「Virtual NAB 2020 セミナー」において、「NAB 出展概要とテクノロジーハイライト」というタイトルで、ソリューションアーキテクトの小林が登壇させていただきました。それらの内容について Blog で報告させていただきます。AWS Local Zones はリージョンよりお客様に近い場所で AWS のサービスを使用することが可能となります。この Blog でも発表の一部を紹介させていただきます。また、作成後のオブジェクトを低頻度アクセス (IA) クラスへ移動してストレージコストを抑えることができるようになりました。 メディア業界向けのイベントとして、AWS Insights オンラインカンファレンスが 6 月 2 日に開催される予定です。 セッションの内容は AWS Blog でご紹介しています。
91,28 APR 2020,AWS 認定試験の作成 | Amazon Web Services ブログ,2019 年 9 月現在、AWS 認定の取得者は 24 万人を超えました。すでに認定を取得された方の中には、AWS 認定試験とその設問がどのように作られているか疑問に思ったことがある方もいらっしゃるかもしれません。今回は AWS の AWS 認定テクニカルアーキテクトの 1 人として、試験開発プロセスの裏側をご紹介したいと思います。 驚かれるかもしれませんが、AWS 認定チームの誰一人として試験問題を作っている人間はいません。また、どのような設問を出題するかを決めることさえありません。 現在提供している 12 の AWS 認定は、AWS のサービスを使用する個人の職務や技術的な専門知識を広範囲にカバーしています。年単位で長期にわたって関わる SME チームには、顧客、パートナー、AWS の従業員が混在し、関連性を保ちつつ多様な経験が認定に反映されるようにしました。完成した試験ブループリントは、 ウェブサイト上で試験ガイドの一部として公開されています。   アイテムがベータ試験でテスト出題されるまでには、いくつもの段階にわたるレビューと承認をクリアする必要があります。 ベータ試験では、本試験よりも多くの設問が出題されます。
92,28 APR 2020,AWSのコストを削減する９の方法 第二回 | Amazon Web Services ブログ,アマゾン ウェブ サービス ジャパン シニアエバンジェリストの亀田です。 前回こちらのブログ記事でAWSのコストを削減する方法をお届けしました。今回は第2回としてその4からその6までをお届けします。DynamoDB の使用量が増加され続けているのであれば、オンデマンドのキャパシティを設定することをお勧めします。テーブルがオンデマンドのキャパシティーで構成されると即座にコスト削減が開始されます。プロビジョンドとオンデマンドのキャパシティーモードは24 時間に 1 回切り替えることができます。 EC2 インスタンスのダウンサイジングと削除は実行後、即座に実現できます。 例えば、実行中の EC2 インスタンスに関連付けられていないアクティブな EIP を特定します。そして、コスト削減額に基づいてリソース削除の優先順位付けを行います。次回は#7から#9をお届けします。
93,28 APR 2020,cqlsh を使用して Amazon MCS にデータをロードする | Amazon Web Services ブログ,Cassandra Query Language Shell (cqlsh) は、CQL コマンドの実行や、テーブルの作成や変更などのデータベース管理タスクの実行に使用できるオープンソースのコマンドラインシェルです。cqlsh を使用して、CSV ファイルから Amazon MCS テーブルにデータをロードすることにより、Cassandra と互換性があり、スケーラブルで可用性の高いマネージド型データベースである Amazon Managed Apache Cassandra Service (MCS) の使用を開始できます。詳細については、Amazon Managed Apache Cassandra Service とは何ですか? を参照してください。また、データを準備するためのベストプラクティスと、COPY コマンドのパラメータを使用してデータ転送のパフォーマンスを調整する方法についても説明します。最後に、この投稿では、Amazon MCS テーブルの読み取り/書き込みスループット設定を構成して、データロードプロセスを最適化する方法について説明します。 開始する前に、Amazon MCS キースペースおよびテーブル用の AWS アカウントが必要です。 ソースデータが Apache Cassandra データベースにある場合は、cqlsh COPY TO コマンドを使用して CSV ファイルを生成できます。詳細については、Apache Cassandra のウェブサイトのデータ型を参照してください。cqlsh COPY コマンドは、以前に準備した CSV ファイルを読み取り、CQL を使用してデータを Amazon MCS に挿入します。詳細については、Amazon Managed Apache Cassandra Service とは何ですか? を参照してください。
94,28 APR 2020,PyTorch のオープンソースモデルサーバー、TorchServe を発表 | Amazon Web Services ブログ,PyTorch は、ディープラーニングで最も人気のあるオープンソースライブラリの 1 つです。開発者と研究者は、モデルの構築とトレーニングにおいて享受できる柔軟性を特に重宝しています。しかし、これはストーリーの半分にすぎず、本番環境でのモデルのデプロイと管理は、機械学習プロセスの最も困難な部分であることが多々あります。オーダーメイドの予測 API の構築、それらのスケーリング、保護などがその厄介な部分です。 モデルのデプロイプロセスを簡略化する 1 つの方法は、モデルサーバー、つまり、本番環境で機械学習予測を行うために特別に設計された既製のウェブアプリケーションを使用することです。モデルサーバーを使用すると、1 つまたは複数のモデルを簡単に読み込むことができ、スケーラブルなウェブサーバーに基づく予測 API が自動的に作成されます。また、予測リクエストに対して前処理と後処理のコードを実行することもできます。私たちのモデルは AWS の PyTorch でトレーニングしていますが、これまでの PyTorch にはモデルサービングフレームワークがありませんでした。「AWS とオンプレミス環境で PyTorch を使用して、急速に増加する機械学習モデルを開発しています。 mkdir model_store mv densenet161.mar model_store/ これで、TorchServe を開始して、モデルストアとロードするモデルを指すことができます。
95,28 APR 2020,Amazon Redshift で列レベルのアクセス制御を行い、よりきめ細かなデータセキュリティを実現する | Amazon Web Services ブログ,Amazon Redshift は低コストで迅速な分析情報を提供する、大変人気の高いクラウドデータウェアハウスです。Amazon Redshift にはすぐに利用できるセキュリティとコンプライアンスが付属しており、規制の厳しい業界のお客様でもミッションクリティカルなワークロードを自信を持って実行できます。セキュリティ機能には、データをインプレース形式およびオープン形式で簡単に分析できる機能が組み合わさっているだけでなく、コンピューティングとストレージの回復性や使いやすさも備えているため、数万人ものお客様に Amazon Redshift をご利用いただいています。ビューベースのアプローチは拡張が難しく、セキュリティ管理が手薄となる可能性があります。Amazon Redshift の列レベルのアクセス制御は、Amazon Redshift のデータを列レベルでアクセス制御する新機能です。 次の構文で GRANT ステートメントおよび REVOKE ステートメントを使用することで、列レベルのアクセス制御を有効または無効にできます。REVOKE ステートメントは、アクセス許可を削除するために必要です。 上記のテストが完了したら、次のコードでオブジェクトとユーザーを削除します。 Amazon Redshift はデフォルトでもセキュアなため、セキュリティに追加費用がかかりません。       Srikanth Sopirala はシニアスペシャリストソリューションアーキテクトで、AWS のアナリティクスに力を入れています。
96,28 APR 2020,AWS DMS を使用した移行からのロールバック | Amazon Web Services ブログ,AWS Database Migration Service (DMS) を使用してデータベースを新しいシステムに移行する場合、新しいシステムが想定どおりに機能しない場合に備えてフォールバック戦略を立てることが賢明です。概要として、移行からロールバックするためには、4 つの基本的な戦略があります。特定の状況に応じて、これらの戦略の 1 つまたは複数を用いることができる場合があります。 この投稿では、各戦略を定義し、その戦略が適切であると思われる状況の概要を説明します。一般的には、データベースシステムの整合性を維持しながら、最小限の労力とコストを必要とする戦略または戦略の組み合わせをデプロイすべきです。次の状況では、デュアル書き込み戦略が適切な場合があります。移行を中止する必要がある場合は、データベース B への書き込みを停止し、アプリケーションをデータベース A’ にポイントします。  ロールバックを実行する必要がある場合、アプリケーションはデータベース A’ にロールフォワードします。この意図は、アプリケーション B を移行してデータベース B を使用することにあります。  ロールバックする必要がある場合は、アプリケーション B がデータベース A1 を使用するように戻すだけです。
97,28 APR 2020,AWS Storage ソリューションを使用した Discover でのデジタル変革 | Amazon Web Services ブログ,どのような組織でも直面する最大の課題の 1 つは、デジタル変革の概念に対する取組みです。組織やその従業員にとってそれが何を意味するのかを定義することさえ、困難な作業となり得ます。多くの組織にとって、その変革には、クラウドジャーニーと、他の新しい (またはやや新しい) テクノロジーの調査の開始が伴います。Discover で学んだことの 1 つは、ジャーニーの「デジタル」の部分にとらわれ過ぎて、「変革」の側面を見失ってしまわないようにしなければならないということです。最終的な目標は、テクノロジーそれ自体のために、新しいテクノロジーをもたらすことではありません。目標とするのは、顧客との約束をより効果的に実現する組織の能力を変革するテクノロジーです (顧客が社内か社外かにかかわらず)。財務分野でビジネスを行うということは、長期にわたって、分析とデータサイエンスに極めて優れていなければならなかったということを意味します。この確立された分析コミュニティに、データサイエンスに対するフリーサイズのアプローチを持ち込むつもりはありませんでした。セキュリティ機能を維持するために非常に多くの時間が費やされたであろうことは言うまでもありません。AWS が提供する素晴らしい暗号化機能と組み合わせることで、当社は、分析コミュニティのために非常に安全なデータ環境を提供しています。
